1Title,None,None,None,None,None,None,None,None,None,None
Q53,12000,200,500,3500,1200,3000,25000,150,700,200
1_PS1,0.6666666666666666,0.0,-0.62,-0.2857142857142857,0.0,-0.16666666666666666,0.4,0.0,-0.2857142857142857,0.25
2_PS1,0.5,0.0,-0.5,-0.3142857142857143,0.0,-0.3333333333333333,-0.4,0.0,0.0,0.0
3_PS1,-0.16666666666666666,0.0,-0.5,-0.2571428571428571,0.0,-0.16666666666666666,0.2,0.0,-0.07142857142857142,0.5
4_PS1,0.25,-0.125,-0.6,-0.4857142857142857,0.0825,-0.3333333333333333,-0.4,0.0,-0.07142857142857142,0.25
5_PS1,0.25,-0.125,-0.62,-0.34285714285714286,0.0,0.16666666666666666,0.0,0.0,-0.07142857142857142,0.0
6_PS1,-0.16666666666666666,0.0,-0.6,-0.37142857142857144,0.0,-0.3333333333333333,0.2,0.0,0.0,0.25
7_PS1,0.25,0.0,-0.6,-0.42857142857142855,0.08333333333333333,0.5,0.2,0.0,-0.14285714285714285,0.25
8_PS1,-0.16666666666666666,0.25,-0.6,-0.2,0.08333333333333333,0.3333333333333333,-0.2,0.16666666666666666,0.14285714285714285,0.5
9_PS1,-0.16666666666666666,0.15,-0.5,-0.3142857142857143,0.0,0.3333333333333333,0.0,0.0,-0.14285714285714285,0.5
