1Title,Average
1_competency/discomfor_1,3.5
1_competency/discomfor_2,3.3
1_competency/discomfor_3,2.7
1_competency/discomfor_4,2.8
1_competency/discomfor_5,2.9
1_competency/discomfor_6,2.6
1_competency/discomfor_7,6.3
1_competency/discomfor_8,5.1
1_competency/discomfor_9,5.7
1_competency/discomfor_10,6.0
1_competency/discomfor_11,5.0
1_competency/discomfor_12,3.8
1_competency/discomfor_13,3.2
1_competency/discomfor_14,4.1
1_competency/discomfor_15,5.1
1_competency/discomfor_16,3.5
1_competency/discomfor_17,3.3
1_competency/discomfor_18,3.3
1_Safety_1,3.2
1_Safety_2,2.7
1_Safety_3,2.5
2_competency/discomfor_1,3.1
2_competency/discomfor_2,2.0
2_competency/discomfor_3,2.7
2_competency/discomfor_4,2.5
2_competency/discomfor_5,2.8
2_competency/discomfor_6,2.2
2_competency/discomfor_7,6.1
2_competency/discomfor_8,5.9
2_competency/discomfor_9,6.2
2_competency/discomfor_10,6.3
2_competency/discomfor_11,6.0
2_competency/discomfor_12,3.9
2_competency/discomfor_13,3.0
2_competency/discomfor_14,5.0
2_competency/discomfor_15,5.6
2_competency/discomfor_16,3.5
2_competency/discomfor_17,3.1
2_competency/discomfor_18,2.8
2_Safety_1,2.9
2_Safety_2,2.6
2_Safety_3,2.3
3_competency/discomfor_1,3.1
3_competency/discomfor_2,2.6
3_competency/discomfor_3,2.5
3_competency/discomfor_4,2.9
3_competency/discomfor_5,2.7
3_competency/discomfor_6,2.4
3_competency/discomfor_7,5.6
3_competency/discomfor_8,5.5
3_competency/discomfor_9,5.9
3_competency/discomfor_10,5.5
3_competency/discomfor_11,5.4
3_competency/discomfor_12,4.2
3_competency/discomfor_13,2.9
3_competency/discomfor_14,4.2
3_competency/discomfor_15,5.7
3_competency/discomfor_16,3.0
3_competency/discomfor_17,3.0
3_competency/discomfor_18,3.0
3_Safety_1,2.9
3_Safety_2,2.8
3_Safety_3,2.3
4_competency/discomfor_1,3.3
4_competency/discomfor_2,2.1
4_competency/discomfor_3,2.4
4_competency/discomfor_4,2.2
4_competency/discomfor_5,2.3
4_competency/discomfor_6,2.1
4_competency/discomfor_7,6.5
4_competency/discomfor_8,5.9
4_competency/discomfor_9,5.3
4_competency/discomfor_10,5.6
4_competency/discomfor_11,5.5
4_competency/discomfor_12,3.7
4_competency/discomfor_13,2.8
4_competency/discomfor_14,3.3
4_competency/discomfor_15,4.9
4_competency/discomfor_16,3.1
4_competency/discomfor_17,2.4
4_competency/discomfor_18,2.4
4_Safety_1,3.1
4_Safety_2,2.6
4_Safety_3,2.4
5_competency/discomfor_1,3.5
5_competency/discomfor_2,3.3
5_competency/discomfor_3,3.2
5_competency/discomfor_4,3.4
5_competency/discomfor_5,3.3
5_competency/discomfor_6,3.3
5_competency/discomfor_7,6.1
5_competency/discomfor_8,6.2
5_competency/discomfor_9,6.0
5_competency/discomfor_10,6.2
5_competency/discomfor_11,5.5
5_competency/discomfor_12,4.2
5_competency/discomfor_13,2.7
5_competency/discomfor_14,3.5
5_competency/discomfor_15,4.3
5_competency/discomfor_16,2.6
5_competency/discomfor_17,2.6
5_competency/discomfor_18,2.6
5_Safety_1,3.6
5_Safety_2,2.3
5_Safety_3,1.6
6_competency/discomfor_1,3.2
6_competency/discomfor_2,2.9
6_competency/discomfor_3,2.2
6_competency/discomfor_4,2.4
6_competency/discomfor_5,2.4
6_competency/discomfor_6,2.2
