1Title,None,None,None,None,None,None,None,None,None,None
1_competency/discomfor_1,5,1,1,2,5,4,6,1,4,6
1_competency/discomfor_2,5,1,1,3,5,3,6,1,4,4
1_competency/discomfor_3,5,1,1,1,5,2,2,1,4,5
1_competency/discomfor_4,2,1,2,2,5,5,2,1,4,4
1_competency/discomfor_5,5,1,1,2,5,2,2,1,5,5
1_competency/discomfor_6,5,1,1,1,5,1,2,1,5,4
1_competency/discomfor_7,6,3,9,7,7,6,6,7,4,8
1_competency/discomfor_8,5,3,9,3,6,6,2,5,4,8
1_competency/discomfor_9,5,3,9,6,7,7,2,6,4,8
1_competency/discomfor_10,5,3,9,5,7,6,6,7,4,8
1_competency/discomfor_11,5,3,9,3,5,4,2,7,5,7
1_competency/discomfor_12,5,3,5,4,5,2,2,1,5,6
1_competency/discomfor_13,1,9,1,6,4,5,2,1,2,1
1_competency/discomfor_14,4,9,1,6,6,6,2,3,2,2
1_competency/discomfor_15,6,9,2,7,6,8,2,3,6,2
1_competency/discomfor_16,5,9,1,7,1,5,2,1,3,1
1_competency/discomfor_17,5,9,1,5,1,3,2,1,5,1
1_competency/discomfor_18,5,9,1,5,1,3,2,1,4,2
1_Safety_1,4,1,4,2,3,3,5,3,3,4
1_Safety_2,3,5,1,3,2,4,1,3,3,2
1_Safety_3,3,5,1,3,2,4,1,1,3,2
2_competency/discomfor_1,5,1,1,4,5,2,2,1,4,6
2_competency/discomfor_2,1,1,1,3,5,1,2,1,2,3
2_competency/discomfor_3,1,1,1,5,5,2,2,1,4,5
2_competency/discomfor_4,1,1,1,5,5,2,2,1,4,3
2_competency/discomfor_5,1,1,1,5,5,2,2,1,4,6
2_competency/discomfor_6,1,1,1,3,5,1,2,1,5,2
2_competency/discomfor_7,6,6,9,6,8,3,2,7,6,8
2_competency/discomfor_8,6,6,8,6,7,6,2,5,5,8
2_competency/discomfor_9,5,6,9,7,7,6,2,7,5,8
2_competency/discomfor_10,5,6,8,6,7,5,6,7,5,8
2_competency/discomfor_11,6,6,8,6,5,4,5,7,6,7
2_competency/discomfor_12,1,6,5,6,5,1,2,1,6,6
2_competency/discomfor_13,1,9,1,4,4,3,2,1,4,1
2_competency/discomfor_14,6,9,1,6,6,9,2,1,6,4
2_competency/discomfor_15,6,9,2,6,6,9,2,7,6,3
2_competency/discomfor_16,5,7,1,5,4,4,2,1,4,2
2_competency/discomfor_17,5,5,1,4,1,6,2,1,4,2
2_competency/discomfor_18,1,5,1,5,1,5,2,1,5,2
2_Safety_1,4,1,4,2,3,2,4,3,2,4
2_Safety_2,3,5,1,3,2,3,1,3,3,2
2_Safety_3,3,5,1,3,2,3,1,1,2,2
3_competency/discomfor_1,1,2,1,4,5,5,2,1,4,6
3_competency/discomfor_2,1,2,1,3,5,1,2,1,4,6
3_competency/discomfor_3,1,2,1,3,5,2,2,1,4,4
3_competency/discomfor_4,1,2,1,4,5,4,2,1,5,4
3_competency/discomfor_5,1,2,1,4,5,2,2,1,6,3
3_competency/discomfor_6,1,2,1,1,5,2,2,1,5,4
3_competency/discomfor_7,5,4,9,4,5,6,2,7,6,8
3_competency/discomfor_8,5,4,8,3,7,6,2,7,5,8
3_competency/discomfor_9,5,4,9,6,7,6,2,7,5,8
3_competency/discomfor_10,5,4,8,4,7,4,2,7,6,8
3_competency/discomfor_11,5,4,9,4,5,5,2,7,6,7
3_competency/discomfor_12,5,4,5,5,5,2,2,1,6,7
3_competency/discomfor_13,1,7,1,4,4,6,2,1,2,1
3_competency/discomfor_14,8,7,1,6,6,6,2,1,4,1
3_competency/discomfor_15,9,8,2,7,6,9,2,7,6,1
3_competency/discomfor_16,5,5,1,6,1,5,2,1,3,1
3_competency/discomfor_17,5,5,1,5,1,4,2,1,5,1
3_competency/discomfor_18,5,5,1,6,1,3,2,1,5,1
3_Safety_1,2,1,4,1,3,2,5,3,3,5
3_Safety_2,4,5,1,4,2,4,1,3,3,1
3_Safety_3,3,5,1,3,2,2,1,1,3,2
4_competency/discomfor_1,5,3,1,3,5,3,2,1,4,6
4_competency/discomfor_2,1,3,1,2,1,2,2,1,4,4
4_competency/discomfor_3,1,3,1,2,4,2,2,1,4,4
4_competency/discomfor_4,1,3,1,3,1,1,2,1,5,4
4_competency/discomfor_5,1,3,1,3,1,2,2,1,6,3
4_competency/discomfor_6,1,3,1,2,1,1,2,1,6,3
4_competency/discomfor_7,6,6,9,4,8,6,6,7,5,8
4_competency/discomfor_8,6,6,8,3,8,6,2,7,5,8
4_competency/discomfor_9,4,6,8,3,8,2,2,7,5,8
4_competency/discomfor_10,5,6,9,3,7,4,2,7,5,8
4_competency/discomfor_11,5,6,9,3,5,6,2,7,5,7
4_competency/discomfor_12,1,6,5,5,5,1,2,1,5,6
4_competency/discomfor_13,1,2,1,6,5,7,2,1,2,1
4_competency/discomfor_14,7,2,1,5,6,6,2,1,2,1
4_competency/discomfor_15,8,2,2,7,6,8,2,7,5,2
4_competency/discomfor_16,5,2,1,6,4,8,2,1,1,1
